"Contract #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"20-GNSV2-01243","","T0777 - Snow Plowing and Spreading Services - NJDOT","M MATIAS TRUCKING INC         ","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01241","","T0777 - Snow Plowing and Spreading Services - NJDOT","SALOMONE BROS INC             ","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01240","","T0777 - Snow Plowing and Spreading Services - NJDOT","JEFF HACKETT & ASSOCIATES     ","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01239","","T0777 - Snow Plowing and Spreading Services - NJDOT","HERMAN LIEDTKA INC            ","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01238","","T0777 - Snow Plowing and Spreading Services - NJDOT","STOMPER ENTERPRISES INC       ","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01237","","T0777 - Snow Plowing and Spreading Services - NJDOT","Beites Inc","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01236","","T0777 - Snow Plowing and Spreading Services - NJDOT","CCM CONTRACTING INC","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01234","","T0777 - Snow Plowing and Spreading Services - NJDOT","Thompson Trucking Inc.","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01233","","T0777 - Snow Plowing and Spreading Services - NJDOT","Yigiter LLC","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01232","","T0777 - Snow Plowing and Spreading Services - NJDOT","WASHINGTON COLLISION CENTER LLP","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01231","","T0777 - Snow Plowing and Spreading Services - NJDOT","T Reagan Trucking Inc.","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01229","","T0777 - Snow Plowing and Spreading Services - NJDOT","Hardrock Trucking & Excavating LLC","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01228","","T0777 - Snow Plowing and Spreading Services - NJDOT","S.F. Lutzky Contracting Inc.","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01227","","T0777 - Snow Plowing and Spreading Services - NJDOT","A.Veniero & Sons","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01225","","T0777 - Snow Plowing and Spreading Services - NJDOT","Breen Topsoil Inc.","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01220","","T0777 - Snow Plowing and Spreading Services - NJDOT","Rodota Trucking & Excavating LLC","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01219","","T0777 - Snow Plowing and Spreading Services - NJDOT","Persistent Construction","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01217","","T0777 - Snow Plowing and Spreading Services - NJDOT","A to Z Site Contractors Inc","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01216","","T0777 - Snow Plowing and Spreading Services - NJDOT","Seashore Asphalt Corp.","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01214","","T0777 - Snow Plowing and Spreading Services - NJDOT","Prieto Enterprises LLC","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV2-01164","","T2848  - Preventive Maintenance and Testing of Generators","Modern Group. Ltd.","RFP/PSBE/COOP","$682,925.14","Division of Purchase and Property ","3PS - Sent","06/01/2020","11/30/2025"
"20-GNSV2-01163","","T2848  - Preventive Maintenance and Testing of Generators","FM Generator Inc.","RFP/PSBE/COOP","$1,031,287.79","Division of Purchase and Property ","3PS - Sent","06/01/2020","05/31/2026"
"20-GNSV2-01136","","T0390 - Vehicle Washing and Cleaning Services","KS Car Wash Group LLC d/b/a Capitol Car Wash","RFP/NJCOOP/SC-SBE","$109,151.00","Division of Purchase and Property ","3PS - Sent","12/01/2018","11/30/2025"
"20-GNSV2-01121","","T2946 - Elevator Maintenance, Repair, Testing, and Inspection Services","SCHINDLER ELEVATOR CORPORATION","RFP/NJCOOP/SC-SBE","$888,901.58","Division of Purchase and Property ","3PS - Sent","03/01/2020","02/28/2026"
"20-GNSV2-01119","","T2946 - Elevator Maintenance, Repair, Testing, and Inspection Services","Slade Industries Inc. ","RFP/NJCOOP/SC-SBE","$280,401.33","Division of Purchase and Property ","3PS - Sent","03/01/2020","02/28/2026"
"20-GNSV1-01624","","T1954 - Professional Auctioneer Services for Vehicles & Heavy Equipment - DSS","Lee M Fox LLC","RFP/SC-SBE","$297,094.00","Division of Purchase and Property ","3PS - Sent","08/01/2021","07/31/2025"
"20-GNSV1-01370","","T2931 - Custom Farm Services for Field Operations - DEP","C. Creamer Land Services LLC","RFP/NJCOOP/SC-SBE","$875,659.35","Division of Purchase and Property ","3PS - Sent","03/14/2021","03/13/2026"
"20-GNSV1-01365","","T2967 Green Acres Program - Title Searches","Stewart Title Company","RFP/NJCOOP/SC-SBE","$548,297.90","Division of Purchase and Property ","3PS - Sent","10/01/2021","09/30/2025"
"20-GNSV1-01340","","T2548 - NJDEP Grounds Maintenance Term Contract","Boltzer Landscaping Inc","RFP/SBE","$1,130,204.39","Division of Purchase and Property ","3PS - Sent","12/01/2020","11/30/2025"
"20-GNSV1-01337","","T0845- Regulated Medical Waste, DEA Pharmaceutical, & RCRA Hazardous Waste Disposal- Statewide","Approved Storage & Waste Hauling Inc","RFP/NJCOOP","$762,981.72","Division of Purchase and Property ","3PS - Sent","12/01/2020","11/30/2025"
"20-GNSV1-01325","","T2664 - Printing: Newborn Screening Request Blood Test Forms: IEM-1 and IEM-1A (DOH)","Revvity Health Sciences Inc.","RFP/SC-SBE","$108,000.00","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV1-01315","","T0208 - Fabricated & Prefabricated Structures: Portable Sanitation Units","Johnny on the Spot, LLC dba United Site Services","RFP/NJCOOP","$926,650.39","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV1-01211","","T1136 - Lawn Maintenance Services Capital Complex, Glen Gardner, Paramus, and West Trenton","Clarke Moynihan Landscaping & Construction LLC","RFP/SBE","$1,776,281.15","Division of Purchase and Property ","3PS - Sent","10/01/2020","09/30/2025"
"20-GNSV1-01166","","T2631- Cosmetology and Hairstyling License Examinations, L&PS","Prometric LLC","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","08/01/2020","07/31/2025"
"20-GNSV1-01153","","G4016-In-Person Interpretation and Document Translation Transcription Services","Metropolitan Interpreters & Translators, Inc.","GSA","$0.00","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01152","","G4016-In-Person Interpretation and Document Translation Transcription Services","TransPerfect","GSA","$336,478.18","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01151","","G4016-In-Person Interpretation and Document Translation Transcription Services","LIS Solutions","GSA","$1,712,979.76","Division of Purchase and Property ","3PS - Sent","05/20/2020","03/31/2026"
"20-GNSV1-01150","","G4016-In-Person Interpretation and Document Translation Transcription Services","Link Translations, Inc.","GSA","$118,304.88","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01149","","G4016-In-Person Interpretation and Document Translation Transcription Services","Language Services Associates Inc.","GSA","$31,460.06","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01148","","G4016-In-Person Interpretation and Document Translation Transcription Services","Language Line Services Inc","GSA","$229,418.98","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01146","","G4016-In-Person Interpretation and Document Translation Transcription Services","Interpreters and Translators, Inc.","GSA","$1,245,332.73","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01145","","G4016-In-Person Interpretation and Document Translation Transcription Services","CQ fluency LLC","GSA","$743,517.82","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01143","","G4016-In-Person Interpretation and Document Translation Transcription Services","CETRA US, LLC","GSA","$381,954.24","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01141","","G4016-In-Person Interpretation and Document Translation Transcription Services","MasterWord Services, Inc.","GSA","$798,991.14","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-GNSV1-01125","","G4016-In-Person Interpretation and Document Translation Transcription Services","Language Bank, Inc. dba aLanguageBank","GSA","$79,603.34","Division of Purchase and Property ","3PS - Sent","04/01/2020","03/31/2026"
"20-FOOD-01614","","T2352 Foods: Canned Fruits, Juices & Vegetables for Distribution and Support Services","CHURCHFIELD TRADING COMPANY INC","RFP","$374,853.20","Division of Purchase and Property ","3PS - Sent","08/01/2021","07/31/2026"
"20-FOOD-01612","","T2352 Foods:  Canned Fruits, Juices & Vegetables for Distribution and Support Services","PORT ROYAL SALES LTD ","RFP","$694,928.34","Division of Purchase and Property ","3PS - Sent","08/01/2021","07/31/2026"
"20-FOOD-01610","","T2352 Foods: Canned Fruits, Juices & Vegetables for Distribution and Support Services","H. Schrier & Co. Inc.","RFP","$1,524,021.35","Division of Purchase and Property ","3PS - Sent","08/01/2021","07/31/2026"
"20-FOOD-01348","","T0009 Foods: Cereal, Hot and Cold, for Distribution and Support Services, REBID","Environmental Professionals Associate","RFP","$292,649.94","Division of Purchase and Property ","3PS - Sent","12/15/2020","12/14/2025"
"20-FOOD-01346","","T0009 Foods: Cereal, Hot and Cold, for Distribution and Support Services, REBID","Metropolitan Foods/dba Driscoll Foods","RFP","$1,425,587.40","Division of Purchase and Property ","3PS - Sent","12/15/2020","12/14/2025"
"20-FOOD-01339","","T2432 Recycled, Paper- Napkins, Towels, Toilet Tissue for Distribution and Support Services","SUMMIT PAPER COMPANY","","$4,206,871.78","Division of Purchase and Property ","3PS - Sent","12/01/2020","11/30/2025"
"20-FOOD-01338","","T2432 Recycled, Paper- Napkins, Towels, Toilet Tissue for Distribution and Support Services","B & E Supply Corp","","$665,081.91","Division of Purchase and Property ","3PS - Sent","12/01/2020","11/30/2025"
"20-FOOD-01157","","T0108 - Propane Gas","Suburban Propane Gas Corp","RFP","$51,029.06","Division of Purchase and Property ","3PS - Sent","06/01/2020","05/31/2026"
"20-FOOD-01079","","T0007 Foods: Soft Drinks- Soda, Various Flavors for Distribution and Support Services","East Coast Food Distributors","","$448,707.30","Division of Purchase and Property ","3PS - Sent","03/27/2020","03/26/2026"
"20-FOOD-01066","","T1888 Corrugated Boxes for DOC Agri-Industries and DSS RE-BID","President Container Group","RFP","$1,091,245.69","Division of Purchase and Property ","3PS - Sent","01/15/2020","01/14/2026"
"20-FOOD-00904","","T0046 Protective Clothing and Footwear","Galls LLC","RFP/NJCOOP/SBE","$3,774,710.24","Division of Purchase and Property ","3PS - Sent","04/21/2017","04/20/2026"
"20-FLEET-01520","","T0213 - Rock Salt, Treated Salt and Solar Salt - Statewide","East Coast Salt Dist","RFP/NJCOOP","$4,212,911.21","Division of Purchase and Property ","3PS - Sent","07/01/2021","06/30/2026"
"20-FLEET-01394","","T2007 Sport Utility Vehicles,  Gasoline /Hybrid/ Electric","Hudson Motors Partnership","RFP/NJCOOP","$11,524,004.20","Division of Purchase and Property ","3PS - Sent","02/19/2021","02/18/2026"
"20-FLEET-01393","","T2007 Sport Utility Vehicles,  Gasoline /Hybrid/ Electric","Gentilini Ford","RFP/NJCOOP","$11,554,536.16","Division of Purchase and Property ","3PS - Sent","02/19/2021","02/18/2026"
"20-FLEET-01392","","T2007 Sport Utility Vehicles,  Gasoline /Hybrid/ Electric","Chas s Winner Inc","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","02/19/2021","02/18/2026"
"20-FLEET-01387","","T2007 Sport Utility Vehicles,  Gasoline /Hybrid/ Electric","Hertrich Fleet Services Inc.","RFP/NJCOOP","$25,222,218.43","Division of Purchase and Property ","3PS - Sent","02/19/2021","02/18/2026"
"20-FLEET-01361","","T0202 Mattress Cores - State Use Industries (Re-Bid)","Chestnut Ridge Foam Inc.","RFP","$853,883.95","Division of Purchase and Property ","3PS - Sent","01/12/2021","01/11/2026"
"20-FLEET-01345","","T0097 Automotive Lubricants","ROMEO ENTERPRISES","RFP/NJCOOP/SBE","$3,594.47","Division of Purchase and Property ","3PS - Sent","11/20/2020","11/19/2025"
"20-FLEET-01343","","T0097 Automotive Lubricants","David Weber Oil Co.","RFP/NJCOOP/SBE","$1,485,090.50","Division of Purchase and Property ","3PS - Sent","11/20/2020","11/19/2025"
"20-FLEET-01342","","T0097 Automotive Lubricants","Taylor Oil Company","RFP/NJCOOP/SBE","$619,456.32","Division of Purchase and Property ","3PS - Sent","11/20/2020","11/19/2025"
"20-FLEET-01320","","T2908 Attenuators: Truck-Mounted,  Trailer-Mounted, and Maintenance and Repair Parts","Transpo Industries Inc.","RFP/NJCOOP","$989,183.35","Division of Purchase and Property ","3PS - Sent","09/23/2020","09/22/2025"
"20-FLEET-01319","","T2908 Attenuators: Truck-Mounted,  Trailer-Mounted, and Maintenance and Repair Parts","Traffic Safety Service LLC","RFP/NJCOOP","$545,238.92","Division of Purchase and Property ","3PS - Sent","09/23/2020","09/22/2025"
"20-FLEET-01204","","T2535 - Lease, Closed-End, 5-Year, Truck/Tractor, Tandem Axle, Class 8, with Preventive Maintenance","Gabrielli Kenworth of NJ LLC","RFP/NJCOOP","$25,000.00","Division of Purchase and Property ","3PS - Sent","08/01/2020","07/31/2025"
"20-FLEET-01203","","T2535 - Lease, Closed-End, 5-Year, Truck/Tractor, Tandem Axle, Class 8, with Preventive Maintenance","Miller Auto Leasing","RFP/NJCOOP","$2,400,359.57","Division of Purchase and Property ","3PS - Sent","08/01/2020","07/31/2025"
"20-FLEET-01202","","T2535 - Lease, Closed-End, 5-Year, Truck/Tractor, Tandem Axle, Class 8, with Preventive Maintenance","Browns Hunterdon Mack Sales & Service Inc.","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","08/01/2020","07/31/2025"
"20-FLEET-01190","","T2776 Police Pursuit and Special Service Vehicles: Gasoline, Hybrid and Plug-In Hybrid Engines","Gentilini Chevrolet LLC","RFP","$475,627.44","Division of Purchase and Property ","3PS - Sent","06/18/2020","06/17/2026"
"20-FLEET-01189","","T2776 Police Pursuit and Special Service Vehicles: Gasoline, Hybrid and Plug-In Hybrid Engines","Chas s Winner Inc","RFP","$38,009,782.44","Division of Purchase and Property ","3PS - Sent","06/18/2020","06/17/2026"
"20-FLEET-01160","","T2018 Retroreflective Fluorescent Roll-Up Warning Signs","Eastern Metal of Elmira, Inc","RFP","$66,085.71","Division of Purchase and Property ","3PS - Sent","07/01/2020","12/28/2025"
"20-FLEET-01118","","T0106 - Law Enforcement Firearms Equipment and Supplies","MSA SAFETY SALES, LLC","RFP","$87,649.14","Division of Purchase and Property ","3PS - Sent","05/15/2019","05/14/2026"
"20-FLEET-00987","","T0126 - OEM & NON-OEM MAINTENANCE & REPAIR      SERVICES FOR LIGHT/MEDIUM DUTY VEHICLES             ","A&B Auto Repair DBA Al's Service Center","RFP/NJCOOP","$726,444.62","Division of Purchase and Property ","3PS - Sent","03/18/2016","12/17/2025"
"20-FLEET-00984","","T2761 - NON-OEM AUTOMOTIVE PARTS & ACCESSORIES  FOR LIGHT DUTY VEHICLES                             ","Parts Authority LLC","RFP/NJCOOP","$0.00","Division of Purchase and Property ","3PS - Sent","02/26/2014","02/25/2026"
"20-COMP-03511","","T3078 Integrated Tax System","Revenue Solutions, Inc. ","RFP/SC-SBE","$56,909,407.60","Division of Purchase and Property ","3PS - Sent","01/21/2022","01/20/2027"
"20-COMP-01207","","G1005 - NJ ENVIRONMENTAL MANAGEMENT SYSTEM (NJEMS) FOR DEP","CGI Federal Inc","GSA","$9,502,812.00","Division of Purchase and Property ","3PS - Sent","08/20/2020","08/19/2025"
"20-COMP-01092","","T3110- Medical Claims Reviewer and Data Management Services ","Health Management Systems Inc., THIRD PARTY LIABILITY RECOVERY SERVICES","RFP","$2,333,655.99","Division of Purchase and Property ","3PS - Sent","12/24/2019","12/23/2025"
"19-TELE-00986","","T3092 - Online Probation Risk Assessment","University of Cincinnati Research Institute","RFP/SC-SBE","$2,217,800.01","Division of Purchase and Property ","3PS - Sent","11/01/2019","10/31/2025"
"19-TELE-00874","","T1841 Geographic Information Systems Services","Timmons Group","RFP/NJCOOP/SC-SBE","$878,721.75","Division of Purchase and Property ","3PS - Sent","06/19/2019","12/16/2025"
"19-TELE-00873","","T1841 Geographic Information Systems Services","Greenman-Pedersen Inc.","RFP/NJCOOP/SC-SBE","$465,530.00","Division of Purchase and Property ","3PS - Sent","06/19/2019","12/16/2025"
"19-TELE-00872","","T1841 Geographic Information Systems Services","Civil Solutions A Div of ARH","RFP/NJCOOP/SBE","$1,740,805.00","Division of Purchase and Property ","3PS - Sent","06/19/2019","12/16/2025"
"19-TELE-00871","","T1841 Geographic Information Systems Services","MICHAEL BAKER INTERNATIONAL INC","RFP/NJCOOP/SC-SBE","$19,183.50","Division of Purchase and Property ","3PS - Sent","06/19/2019","12/16/2025"
"19-TELE-00870","","T1841 Geographic Information Systems Services","Tetra Tech Inc.","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","06/19/2019","12/16/2025"
"19-TELE-00869","","T1841 Geographic Information Systems Services","Cybertech Systems and Software","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","06/19/2019","12/16/2025"
"19-TELE-00868","","T1841 Geographic Information Systems Services","Aerial Information Systems","RFP/NJCOOP/SC-SBE","$750,882.00","Division of Purchase and Property ","3PS - Sent","06/19/2019","12/16/2025"
"19-TELE-00844","","T2905 Fingerprint Services: Live Scan Noncriminal Various State Agencies","IDEMIA IDENTITY & SECURITY USA LLC ","RFP/NJCOOP/SC-SBE","$15,812,866.70","Division of Purchase and Property ","3PS - Sent","05/13/2019","05/12/2026"
"19-TELE-00712","","T2840 - HOSTING, MAINTENANCE, SUPPORT FOR THE NJSTATEWIDE VOTER REGISTRATION SYSTEM.                ","KNOWiNK LLC","RFP","$11,940,531.86","Division of Purchase and Property ","3PS - Sent","01/04/2013","01/03/2026"
"19-TELE-00621","","G3077 Technical and Professional Services for Pharmacy Benefits Manager (PBM)","Truveris","GSA","$0.00","Division of Purchase and Property ","3PS - Sent","12/11/2018","12/31/2025"
"19-PROSV-01140","","T1225 - Audits of Pension Trust, Cash Management, Agency and Health Benefit Funds","KPMG LLP","RFP/SC-SBE","$3,234,320.00","Division of Purchase and Property ","3PS - Sent","04/01/2020","09/27/2025"
"19-PROSV-00934","","T3054 Light Rail/Fixed Guide State Safety Oversight Support Services","Vital Assurance Ltd","RFP/SC-SBE","$707,840.52","Division of Purchase and Property ","3PS - Sent","08/16/2019","08/15/2025"
"19-PROSV-00884","","T2691 NJ FamilyCare Utilization Review Audits, DMAHS","Permedion Inc.","RFP/SC-SBE","$14,889,698.78","Division of Purchase and Property ","3PS - Sent","07/08/2019","12/31/2025"
"19-PROS1-00989","","T3044 - Waterway Debris Removal Services for Disasters","CrowderGulf LLC","RFP/NJCOOP/SC-SBE","$180,900.00","Division of Purchase and Property ","3PS - Sent","10/23/2019","10/31/2025"
"19-PROS1-00926","","T2740 - Alternative Resolution Program, Professional Assistance Monitoring Program","Professional Assistance Program of New Jersey Inc","","$922,971.07","Division of Purchase and Property ","3PS - Sent","10/04/2019","10/03/2025"
"19-PROS1-00925","","T2679; Employee Benefits:Pharmacy Benefit Management","OptumRx","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","01/01/2020","12/31/2025"
"19-PROS1-00883","","T0265 Financial Audit Services, Cyber Security Audit Services, and Draw Game Attendance","Mercadien P.C. Certified Public Accountants","RFP/SC-SBE","$4,150,646.72","Division of Purchase and Property ","3PS - Sent","07/08/2019","07/07/2025"
"19-PROS1-00798","","T2143 - Administrative Service for Commuter Transportation Benefits","Edenred Benefits, LLC","RFP/SC-SBE","$166,301.36","Division of Purchase and Property ","3PS - Sent","04/18/2019","04/17/2026"
"19-PROS1-00688","","T1620 - AGGREGATED PURCHASE OF NATURAL GAS      SUPPLY (COMMODITY) - STATEWIDE                      ","UGI Energy Services","RFP/SBE","$22,150.10","Division of Purchase and Property ","3PS - Sent","01/01/2016","12/31/2025"
"19-PROS1-00673","","T2141 - AGGREGATED PURCHASE OF ELECTRIC         SUPPLY (COMMODITY) STATEWIDE                        ","CONSTELLATION NEWENERGY INC.","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","12/01/2015","12/31/2025"
"19-PROS1-00439","","T2503 Transportation Broker Services","ModivCare Solutions, LLC (formerly Logisticare Solutions, LLC)","RFP","$55,975.50","Division of Purchase and Property ","3PS - Sent","09/01/2017","08/31/2025"
"19-PROS1-00436","","T3093 - SHBP and SEHBP Medicare Advantage Plans ","Aetna","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","01/01/2019","12/31/2025"
"19-GNSV2-01015","","T0390 - Vehicle Washing and Cleaning Services (Supplemental)","WPDT LLC DBA Casino Carwash","RFP/NJCOOP/SC-SBE","$77,247.30","Division of Purchase and Property ","3PS - Sent","12/01/2019","11/30/2025"
"19-GNSV2-01014","","T0390 - Vehicle Washing and Cleaning Services (Supplemental)","HAMILTON CAR WASH             ","RFP/NJCOOP/SC-SBE","$43,402.00","Division of Purchase and Property ","3PS - Sent","12/01/2019","11/30/2025"
"19-GNSV2-01013","","T0390 - Vehicle Washing and Cleaning Services (Supplemental)","WINDSOR CAR WASH              ","RFP/NJCOOP/SC-SBE","$18,935.50","Division of Purchase and Property ","3PS - Sent","12/01/2019","11/30/2025"
"19-GNSV2-01012","","T0390 - Vehicle Washing and Cleaning Services (Supplemental)","Broad St Car Wash","RFP/NJCOOP/SC-SBE","$261,202.50","Division of Purchase and Property ","3PS - Sent","12/01/2019","11/30/2025"
"19-GNSV2-00993",""," T2831 - Traffic Monitoring Systems Maintenance and Installation  ","International Road Dynamics Corp.","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","01/15/2020","07/14/2025"
"19-GNSV2-00888","","T3102 - Courier Delivery Services - Judiciary, DOL, DHS & OAL","DC Express Inc.","RFP/SC-SBE","$1,856,090.17","Division of Purchase and Property ","3PS - Sent","09/01/2019","08/31/2025"
"19-GNSV2-00881","","T0200 - MAILROOM EQUIPMENT AND MAINTENANCE      VARIOUS STATE AGENCIES                              ","Bell and Howell LLC","RFP/NJCOOP","$4,055,222.56","Division of Purchase and Property ","3PS - Sent","04/15/2016","04/14/2026"
"19-GNSV2-00875","","T1157 - HVAC Computerized System Maintenance Main Office Complex - DOT","A.M.E. Inc.","RFP","$20,000.00","Division of Purchase and Property ","3PS - Sent","07/01/2019","12/31/2025"
"19-GNSV2-00854","","G4010 - Statewide Equipment and Space Rental","HERC RENTALS INC.","GSA/NJCOOP","$8,988,060.82","Division of Purchase and Property ","3PS - Sent","06/01/2019","11/30/2025"
"19-GNSV2-00853","","G4010 - Statewide Equipment and Space Rental","United Rentals North America Inc.","GSA/NJCOOP","$2,483,517.30","Division of Purchase and Property ","3PS - Sent","06/01/2019","11/30/2025"
"19-GNSV2-00852","","G4010 - Statewide Equipment and Space Rental","Sunbelt Rentals Inc.","GSA/NJCOOP","$1,123,700.57","Division of Purchase and Property ","3PS - Sent","06/01/2019","11/30/2025"
"19-GNSV2-00850","","G4010 - Statewide Equipment and Space Rental","Nadler Mobile LLC","GSA/NJCOOP","$404,322.00","Division of Purchase and Property ","3PS - Sent","06/01/2019","11/30/2025"
"19-GNSV2-00838","","T1901 - Telephone-Based Tobacco Cessation Counseling","Consumer Wellness Solutions, LLC","RFP/SC-SBE","$1,675,095.60","Division of Purchase and Property ","3PS - Sent","08/01/2019","07/31/2025"
"19-GNSV2-00680","","T0200 - MAILROOM EQUIPMENT AND MAINTENANCE      VARIOUS STATE AGENCIES                              ","Jersey Mail Systems LLC","RFP/NJCOOP","$192,253.88","Division of Purchase and Property ","3PS - Sent","04/15/2016","04/14/2026"
"19-GNSV1-01132","","T2767- Certified Court Reporters/ Certified Real Time Court Reporters- Statewide","Degnan & Bateman","RFP/NJCOOP/SBE","$366,122.45","Division of Purchase and Property ","3PS - Sent","05/01/2020","04/30/2026"
"19-GNSV1-01130","","T2767- Certified Court Reporters/ Certified Real Time Court Reporters- Statewide","state shorthand reporting service, inc.","RFP/NJCOOP/SBE","$143,325.50","Division of Purchase and Property ","3PS - Sent","05/01/2020","04/30/2026"
"19-GNSV1-01129","","T2767- Certified Court Reporters/ Certified Real Time Court Reporters- Statewide","Guy J. Renzi & Associates Inc.","RFP/NJCOOP/SBE","$293,488.40","Division of Purchase and Property ","3PS - Sent","05/01/2020","04/30/2026"
"19-GNSV1-01128","","T2767- Certified Court Reporters/ Certified Real Time Court Reporters- Statewide","Rosenberg & Associates","RFP/NJCOOP/SBE","$125,148.07","Division of Purchase and Property ","3PS - Sent","05/01/2020","04/30/2026"
"19-GNSV1-01126","","T2767- Certified Court Reporters/ Certified Real Time Court Reporters- Statewide","JH BUEHRER","RFP/NJCOOP/SBE","$1,581,235.74","Division of Purchase and Property ","3PS - Sent","05/01/2020","04/30/2026"
"19-GNSV1-01009","","T2171 - Vehicle Towing and Roadside Services","GJ AUTO REPAIR & SERVICE LLC","RFP/NJCOOP/SBE","$299,784.54","Division of Purchase and Property ","3PS - Sent","12/01/2019","08/31/2025"
"19-GNSV1-01008","","T2171 - Vehicle Towing and Roadside Services","A&B Auto Repair DBA Al's Service Center","RFP/NJCOOP/SBE","$373,786.69","Division of Purchase and Property ","3PS - Sent","12/01/2019","08/31/2025"
"19-GNSV1-01005","","T2171 - Vehicle Towing and Roadside Services","A-1 TOWING INC.","RFP/NJCOOP/SBE","$305,589.16","Division of Purchase and Property ","3PS - Sent","12/01/2019","08/31/2025"
"19-GNSV1-01003","","T2171 - Vehicle Towing and Roadside Services","t masters collision & service","RFP/NJCOOP/SBE","$140,623.33","Division of Purchase and Property ","3PS - Sent","12/01/2019","08/31/2025"
"19-GNSV1-01002","","T2171 - Vehicle Towing and Roadside Services","John Appello dba John's Main Auto Body","RFP/NJCOOP/SBE","$16,189.40","Division of Purchase and Property ","3PS - Sent","12/01/2019","08/31/2025"
"19-GNSV1-01001","","T2171 - Vehicle Towing and Roadside Services","Glendola Service Center LLC","RFP/NJCOOP/SBE","$704,009.96","Division of Purchase and Property ","3PS - Sent","12/01/2019","08/31/2025"
"19-GNSV1-01000","","T2171 - Vehicle Towing and Roadside Services","SHT CORP                      ","RFP/NJCOOP/SBE","$763,197.97","Division of Purchase and Property ","3PS - Sent","12/01/2019","08/31/2025"
"19-GNSV1-00999","","T2171 - Vehicle Towing and Roadside Services","Nicks Towing Service Inc.","RFP/NJCOOP/SBE","$246,210.86","Division of Purchase and Property ","3PS - Sent","12/01/2019","08/31/2025"
